index_id,customer_id,fullname,Age,Gender,Favoured_Payment_method,Favourdured_Product_Categort
,KH46251,Christine Hernandez,37,Male,PayPal,Home
,KH13593,James Grant,49,Female,Credit Card,Home
,KH28805,Jose Collier,19,Male,Credit Card,Books
,KH28961,James Stein,55,Male,Credit Card,Books
,KH12163,Sonia Moreno,67,Male,Credit Card,Books
,KH28248,Kelly Ramirez,48,Male,PayPal,Home
,KH6761,Johnny Peterson,46,Female,Cash,Clothing
,KH17018,Jerry Mendoza,21,Male,Credit Card,Home
,KH11462,Cory Wagner,32,Female,PayPal,Clothing
,KH43388,Cory Zuniga,32,Female,Cash,Clothing
,KH39199,Ashley Shelton,46,Male,Credit Card,Books
,KH3843,Shelly Higgins,43,Male,Credit Card,Books
,KH49593,Steve Patton,24,Male,PayPal,Books
,KH34772,Kimberly Burgess,51,Male,Credit Card,Books
,KH47326,Heather Diaz,39,Male,Cash,Clothing
,KH24270,Phillip Harris,60,Male,PayPal,Clothing
,KH25638,Eric Huynh,64,Female,PayPal,Books
,KH44610,Jennifer Cruz,68,Male,Credit Card,Clothing
,KH42239,Brian Ross,67,Male,PayPal,Home
,KH36664,Scott Calhoun,22,Female,Credit Card,Electronics
,KH23703,Gregory Bolton,19,Female,PayPal,Clothing
,KH6089,Megan Reed,49,Male,Credit Card,Books
,KH34085,John White,63,Male,Cash,Electronics
,KH43154,Dwayne Shelton,41,Female,Cash,Books
,KH24260,Linda Williams,27,Male,Credit Card,Clothing
,KH15269,Amanda Davis,59,Female,PayPal,Home
,KH5241,Gina Pratt,30,Male,Credit Card,Electronics
,KH3443,Dr. Hunter Liu Jr.,52,Female,Credit Card,Electronics
,KH47413,Elizabeth Brown,61,Male,Credit Card,Electronics
,KH39920,Andrew Zimmerman,38,Female,Credit Card,Clothing
,KH45933,Corey Barajas,23,Female,Crypto,Home
,KH8969,Brian Salas,28,Female,Credit Card,Books
,KH44809,David Vincent,30,Male,Crypto,Clothing
,KH6163,Jennifer Klein,30,Male,Cash,Books
,KH2919,Brian Ward,39,Male,PayPal,Books
,KH33320,Laura Vance,21,Male,Credit Card,Books
,KH19284,Lindsey Stewart,59,Female,Credit Card,Clothing
,KH38226,Edward Mejia,46,Female,Credit Card,Clothing
,KH7547,Christina Miller,43,Male,PayPal,Home
,KH18196,Stacy Rowland,37,Male,Credit Card,Clothing
,KH14162,Danielle Davis,34,Male,Credit Card,Electronics
,KH8626,Ralph Flores,22,Male,Crypto,Clothing
,KH28501,Erin Campbell,35,Male,PayPal,Books
,KH29635,Brandon Parrish,30,Male,Cash,Clothing
,KH23422,Matthew Brooks,36,Male,Credit Card,Books
,KH46076,Thomas Green,38,Male,Credit Card,Clothing
,KH13989,William Valdez,27,Female,PayPal,Electronics
,KH32384,Kristin Harper,66,Female,Credit Card,Clothing
,KH37881,Martin Mason MD,52,Female,Credit Card,Home
,KH27922,Martin Roy,47,Male,Credit Card,Electronics
,KH35410,Jennifer Henderson,66,Male,Cash,Home
,KH14237,Yvette Rivas,21,Female,PayPal,Books
,KH40321,Megan Wong,22,Male,Credit Card,Books
,KH35059,Timothy Osborne,66,Male,Credit Card,Books
,KH10461,David Morris,59,Male,Credit Card,Clothing
,KH24866,Pamela Carter,40,Female,Credit Card,Home
,KH2864,Alvin Hardin,40,Female,PayPal,Clothing
,KH48598,Brittany Ramirez,48,Female,PayPal,Books
,KH30041,Sean Payne,36,Male,Cash,Electronics
,KH18890,Jonathan Burgess,53,Male,Credit Card,Clothing
,KH25798,Yvette Garrison,70,Female,PayPal,Clothing
,KH19511,Jennifer Schroeder,39,Male,Credit Card,Books
,KH44616,Beverly White,51,Female,PayPal,Books
,KH2935,Kristy Davidson,52,Female,Cash,Books
,KH47245,Nancy Murphy,65,Female,Credit Card,Books
,KH1350,Steven Morris,46,Male,Credit Card,Clothing
,KH20370,Christopher Robinson,34,Female,Credit Card,Clothing
,KH15574,Lisa Jones,60,Male,Credit Card,Clothing
,KH556,Roberto Combs,28,Female,Credit Card,Books
,KH727,Andrew Melendez,21,Male,Credit Card,Electronics
,KH18972,Amanda Clark,70,Male,Credit Card,Electronics
,KH20592,John Morales,28,Male,Credit Card,Electronics
,KH10687,Ryan Schwartz,59,Female,Cash,Clothing
,KH22131,David Moran,52,Female,PayPal,Books
,KH29460,Edward Jones,34,Female,PayPal,Clothing
