Customer ID,TotalSpent,Frequency,Name,LastPurchaseDate,TotalSpentFormatted,Recency,Cluster,Customer_Labels
46251,2680,4,Christine Hernandez,2022-05-23,"$2,680.00",479,1,Lapsed Customers
13593,2560,5,James Grant,2023-04-15,"$2,560.00",153,2,Regular Customers
28805,2522,6,Jose Collier,2023-09-13,"$2,522.00",2,2,Regular Customers
28961,3217,5,James Stein,2023-06-18,"$3,217.00",88,2,Regular Customers
12163,6463,9,Sonia Moreno,2023-07-08,"$6,463.00",68,0,VIP Customers
28248,3993,7,Kelly Ramirez,2023-09-12,"$3,993.00",2,0,VIP Customers
6761,3186,4,Johnny Peterson,2021-11-29,"$3,186.00",654,1,Lapsed Customers
17018,4113,7,Jerry Mendoza,2023-06-27,"$4,113.00",80,0,VIP Customers
11462,5411,6,Cory Wagner,2023-02-27,"$5,411.00",199,0,VIP Customers
43388,8101,8,Cory Zuniga,2023-07-07,"$8,101.00",69,0,VIP Customers
39199,2785,5,Ashley Shelton,2023-03-18,"$2,785.00",181,2,Regular Customers
3843,3763,5,Shelly Higgins,2022-02-12,"$3,763.00",579,1,Lapsed Customers
49593,5982,12,Steve Patton,2022-12-19,"$5,982.00",269,0,VIP Customers
34772,4559,8,Kimberly Burgess,2022-11-30,"$4,559.00",288,0,VIP Customers
47326,7683,6,Heather Diaz,2023-06-23,"$7,683.00",83,0,VIP Customers
24270,2542,5,Phillip Harris,2023-06-19,"$2,542.00",87,2,Regular Customers
25638,3404,5,Eric Huynh,2023-02-02,"$3,404.00",225,2,Regular Customers
44610,3077,6,Jennifer Cruz,2023-05-08,"$3,077.00",130,2,Regular Customers
42239,2085,6,Brian Ross,2023-02-15,"$2,085.00",211,2,Regular Customers
36664,10606,9,Scott Calhoun,2023-07-19,"$10,606.00",58,0,VIP Customers
23703,4098,4,Gregory Bolton,2022-07-07,"$4,098.00",435,2,Regular Customers
6089,7073,10,Megan Reed,2023-05-23,"$7,073.00",114,0,VIP Customers
34085,3285,5,John White,2022-11-27,"$3,285.00",291,2,Regular Customers
43154,2246,5,Dwayne Shelton,2022-12-07,"$2,246.00",281,2,Regular Customers
24260,14584,12,Linda Williams,2022-09-21,"$14,584.00",359,0,VIP Customers
15269,8307,7,Amanda Davis,2023-08-23,"$8,307.00",22,0,VIP Customers
5241,2778,5,Gina Pratt,2022-09-02,"$2,778.00",378,2,Regular Customers
3443,6038,9,Dr. Hunter Liu Jr.,2023-05-15,"$6,038.00",122,0,VIP Customers
47413,5081,8,Elizabeth Brown,2023-08-12,"$5,081.00",33,0,VIP Customers
39920,5160,8,Andrew Zimmerman,2023-07-28,"$5,160.00",49,0,VIP Customers
45933,5149,7,Corey Barajas,2023-02-04,"$5,149.00",223,0,VIP Customers
8969,3152,2,Brian Salas,2023-03-07,"$3,152.00",192,2,Regular Customers
44809,2628,6,David Vincent,2022-08-29,"$2,628.00",382,2,Regular Customers
6163,2550,5,Jennifer Klein,2023-04-25,"$2,550.00",143,2,Regular Customers
2919,6758,10,Brian Ward,2023-01-01,"$6,758.00",256,0,VIP Customers
33320,11133,10,Laura Vance,2023-07-31,"$11,133.00",45,0,VIP Customers
19284,5084,5,Lindsey Stewart,2023-06-19,"$5,084.00",87,2,Regular Customers
38226,7841,6,Edward Mejia,2021-11-30,"$7,841.00",654,0,VIP Customers
7547,9576,9,Christina Miller,2023-03-02,"$9,576.00",197,0,VIP Customers
18196,5440,6,Stacy Rowland,2023-07-10,"$5,440.00",66,0,VIP Customers
14162,5994,6,Danielle Davis,2023-02-03,"$5,994.00",223,0,VIP Customers
8626,5860,8,Ralph Flores,2023-07-06,"$5,860.00",71,0,VIP Customers
28501,3797,6,Erin Campbell,2023-07-28,"$3,797.00",49,2,Regular Customers
29635,4715,4,Brandon Parrish,2023-03-08,"$4,715.00",190,2,Regular Customers
23422,6737,10,Matthew Brooks,2023-06-18,"$6,737.00",89,0,VIP Customers
46076,4628,8,Thomas Green,2023-07-23,"$4,628.00",53,0,VIP Customers
13989,4877,5,William Valdez,2022-10-07,"$4,877.00",343,2,Regular Customers
32384,6255,8,Kristin Harper,2023-03-17,"$6,255.00",182,0,VIP Customers
37881,2103,5,Martin Mason MD,2023-06-01,"$2,103.00",105,2,Regular Customers
27922,6273,6,Martin Roy,2023-08-22,"$6,273.00",24,0,VIP Customers
35410,4901,8,Jennifer Henderson,2022-12-18,"$4,901.00",271,0,VIP Customers
14237,3931,9,Yvette Rivas,2023-08-18,"$3,931.00",28,0,VIP Customers
40321,2418,5,Megan Wong,2023-07-25,"$2,418.00",52,2,Regular Customers
35059,2917,5,Timothy Osborne,2023-01-06,"$2,917.00",252,2,Regular Customers
10461,3240,8,David Morris,2023-08-16,"$3,240.00",30,0,VIP Customers
24866,1807,5,Pamela Carter,2023-05-05,"$1,807.00",133,2,Regular Customers
2864,3519,4,Alvin Hardin,2023-04-22,"$3,519.00",146,2,Regular Customers
48598,4037,7,Brittany Ramirez,2022-07-06,"$4,037.00",435,0,VIP Customers
30041,4348,4,Sean Payne,2022-11-18,"$4,348.00",300,2,Regular Customers
18890,4132,5,Jonathan Burgess,2023-08-02,"$4,132.00",44,2,Regular Customers
